NM_VOTAVEL,DS_CARGO,QT_VOTOS
MARCELO JOSÉ DE SOUZA,Vereador,467
JUDITH EVANGELISTA PEREIRA,Vereador,439
SILVIO CESAR VIEIRA,Vereador,1781
VALDIR BISPO SILVA,Vereador,941
ARIOVALDO HENRIQUES,Vereador,213
ANDERSON LEANDRO GONÇALVES PIRES,Vereador,638
NATAN GONÇALVES HELENO,Vereador,125
MARCOS BENEDITO DOS SANTOS,Vereador,593
RICARDO FERNANDES SILVA,Vereador,559
CLEBERSON JOSE GUIMARAES GOLÇALVES,Vereador,588
VILMAR ANGELO ALVES,Vereador,455
CÍCERO ALESSANDRO RODRIGUES FRANCA,Vereador,453
ALCENIO LEONEL DA SILVA NETO,Vereador,575
GLEYTON LUIZ PEREIRA,Vereador,2144
ALEXANDRE SABINO BRAGA,Vereador,403
NELIO CHAVES,Vereador,650
VANDERLEI DIAS NEIVA,Vereador,400
CLAUDIA CALIXTO SIMÃO FONSECA,Vereador,550
ANTÔNIO JOSÉ DE FARIA JÚNIOR,Vereador,1709
PAULO CARDOSO DOS SANTOS,Vereador,344
CARLOS ARTHUR PITTELKOW,Vereador,236
SINIVALDO FERREIRA PAIVA,Vereador,2365
JOAQUIM MARQUES DE OLIVEIRA,Vereador,444
LUIZ PAULO DIAS DE FREITAS,Vereador,887
GERALDO JOSE DA SILVA,Vereador,221
MARIANA LEOCRITA DE OLIVEIRA,Vereador,569
WARLEM ALMEIDA DAMACENO,Vereador,410
JOÃO BATISTA LUPINACCI,Vereador,1292
HERNANE LOPES DE SIQUEIRA,Vereador,379
JOSE HORTA FILHO,Vereador,158
HERNANY LANA MACHADO,Vereador,170
GERSON DO ESPÍRITO SANTO DE SOUZA,Vereador,958
WEBER RIBEIRO DE OLIVEIRA,Vereador,890
ECIO JOSE DE SOUSA,Vereador,217
VILSON MENDES DE AQUINO,Vereador,391
WERLEY FERREIRA LIMA,Vereador,957
JOAO BATISTA VIEIRA JUNIOR,Vereador,418
ENIVALDO MUNIZ RIBEIRO,Vereador,335
JOSE DE MOURA DA SILVA,Vereador,561
BALTAZAR SAMPAIO LOPES,Vereador,264
SEBASTIÃO HENRIQUES DE FREITAS,Vereador,218
DANIEL MOREIRA DE SOUZA VIEIRA,Vereador,574
ALESSANDRO DE ALMEIDA,Vereador,247
ALYSSON ANDRADE ALVARENGA,Vereador,209
GILSON ALVES MARTINS,Vereador,272
JOSÉ DARLAN FRANCISCO DE OLIVEIRA,Vereador,325
CLAÚDIO ALVES ROCHA,Vereador,422
JOSÉ NILSON FIDELIS PEREIRA,Vereador,158
JOSÉ MARIA BOTELHO MOTOSO,Vereador,199
JOSE APARECIDO DO AMARAL,Vereador,202
GERALDO CAMILO LELES PONTES,Vereador,1016
ALEXANDRE VIEIRA MACHADO,Vereador,1007
KELISSANDER SALIBA SANTOS,Vereador,728
APARECIDA DE OLIVEIRA PINTO,Vereador,6045
GERALDO ATAIDE ALVES,Vereador,289
JAIME AUGUSTO DE SOUSA,Vereador,664
MARLON DOURADO LIMA,Vereador,346
JOÃO FIGUEIREDO GOMES,Vereador,322
BOLIVAR ANTONIO TEIXEIRA,Vereador,386
WASHINGTON FELIPE VIDAL BENTO,Vereador,767
JOSE MARIA NASCIMENTO NETO,Vereador,255
WELEIS NICODEMOS DE OLIVEIRA,Vereador,417
PAULO HENRIQUE RODRIGUES MUNDIM,Vereador,1225
ARLINDO BRAZ DE LIMA,Vereador,361
LEONARDO VIANA DAHER,Vereador,1013
HUMBERTO CABRAL DA SILVA,Vereador,1009
JOSÉ JOAQUIM DOS REIS,Vereador,510
WALDINEY DE SOUZA CAMPOS,Vereador,257
GERALDO ILSON DE MATOS,Vereador,273
CLEISON RODRIGUES DE ALMEIDA,Vereador,277
ANA PAULA SANTANA DE REZENDE ARRUDA,Vereador,1621
LIBERIO APARECIDO DA SILVA,Vereador,190
BENEDITO CELESTINO ESTEVES,Vereador,277
JOSÉ AUGUSTO CABRAL GONÇALVES,Vereador,762
JOSE MARIA DA SILVA,Vereador,229
FABIO PEREIRA VIEIRA,Vereador,507
ELAINY APARECIDA DE SOUZA,Vereador,462
FABIO MURILO RODRIGUES FERREIRA,Vereador,471
MARINHO AMÂNCIO DE ABREU,Vereador,328
FLÁVIO MENDES FERREIRA,Vereador,259
NIVAIRTO APARECIDO DE ASSIS,Vereador,170
IVAN ELIAS DE ALMEIDA,Vereador,846
LEANDRO CARDOSO DE OLIVEIRA,Vereador,486
ERIVELTO ANGELO DOS SANTOS,Vereador,850
OTHON JOSE ARAUJO FAJARDO,Vereador,245
DENEJANDO DE SOUSA PEREIRA,Vereador,484
HERNANE ALVES DE SOUSA,Vereador,748
JACILENE LOPES DE OLIVEIRA LIMA,Vereador,385
RODRIGO JÚLIO DOS SANTOS,Vereador,1182
DARCI MARIA BRAGA DA CRUZ,Vereador,598
VALTAIR GALVANI MARTINS,Vereador,690
THIAGO GRIBEL DO VALLE,Vereador,488
MAURICIO JOSE GUIMARAES DE ABREU,Vereador,382
ANA PAULA TORRES SANTOS,Vereador,689
JULIANO VASCONCELOS GONÇALVES,Vereador,1460
VIVIAN MARIA MOL ALVES,Vereador,255
VANDERLEI COSTA,Vereador,166
RAMON MORAIS FERREIRA,Vereador,182
RODRIGO JUNIOR RIBEIRO,Vereador,185
CLEBER LUIZ GONÇALVES,Vereador,451
JUNIO SILVESTRE LOUBACK,Vereador,603
TÂNIA PATRÍCIA PEREIRA DE ALMEIDA,Vereador,337
VICENTE LUCIO DE SOUZA,Vereador,188
ARILTON GAUDENCIO SANTIAGO,Vereador,508
ALEXANDRE FERREIRA DE MORAIS NETO,Vereador,192
LEONEL GERALDO DOS SANTOS,Vereador,467
ANDERSON RAFAEL DE CARVALHO,Vereador,338
FERNANDO AUGUSTO PEREIRA,Vereador,888
