NM_VOTAVEL,DS_CARGO,QT_VOTOS
POLLIANE DE CASTRO NUNES BASTOS,PREFEITO,1741
CARLOS ISAILDON MENDES,PREFEITO,15386
MARCELO FELIX ALVES DE ARAUJO,PREFEITO,14066
ROBERTO EMILIO LOPES,PREFEITO,1830
LEONARDO DURAES DE ALMEIDA,PREFEITO,2691
REGINALDO ANTONIO DA SILVA,PREFEITO,8330
FABIO VASCONCELOS,PREFEITO,2858
CARLOS JOSÉ DE JESUS SENA,PREFEITO,2135
ADILSON LOPES SILVA,PREFEITO,4799
JOAQUIM ISIDORO DE OLIVEIRA,PREFEITO,1797
HUMBERTO FERNANDO CAMPELO REIS,PREFEITO,3804
ROBERTO ALCANTARA BOTELHO,PREFEITO,7172
JOSÉ DONIZETTE NOGUEIRA,PREFEITO,1938
DENILSON ANDRADE DE ASSIS,PREFEITO,1839
ELIANA COLEN PIMENTA DE ABUABARA,PREFEITO,1777
DAURO BARRETO MELO FILHO,PREFEITO,4102
EDÉSIO SARMENTO SILVA,PREFEITO,5424
PAULA ANDRADE VIANA ALCANTARA,PREFEITO,1596
AECIO RODRIGUES MOTOSO,PREFEITO,1787
ELIAS SILVEIRA GODINHO,PREFEITO,2029
SIMONE CARVALHO,PREFEITO,15456
EDMAR XAVIER MACIEL,PREFEITO,15858
ANTÔNIO ADÔNIS PEREIRA,PREFEITO,7004
BRUNO DE FREITAS SIQUEIRA,PREFEITO,255066
WENDEL PEREIRA DE SOUZA,PREFEITO,1515
CLAUDECI DIVINO DE ARAUJO,PREFEITO,3534
ROMULO MARINHO CARNEIRO,PREFEITO,2727
WALID NEDIR OLIVEIRA,PREFEITO,5119
JOSE ALVES FILHO,PREFEITO,3058
PAULO CESAR TEODORO,PREFEITO,9826
JOSÉ RAUL REIS,PREFEITO,2142
MANOEL GERALDO DE RESENDE,PREFEITO,4174
JOÃO MARTINS DE PAULA,PREFEITO,6158
EDSON SABINO DE LIMA,PREFEITO,3374
ROGÉRIO CÉSAR DE MATOS AVELAR,PREFEITO,19797
JOAO ROSENDO AMBRÓSIO DE MEDEIROS,PREFEITO,6640
SÉRGIO TEIXEIRA,PREFEITO,7247
MARCO ANTONIO DE ASSIS,PREFEITO,1522
SUDARIO AMORIM CARNEIRO,PREFEITO,2016
PAULO ELIAS RODRIGUES,PREFEITO,2154
JOSE CHEREM,PREFEITO,38057
ELDER CORREA DE FREITAS,PREFEITO,1476
REGINALDO GOMES FERREIRA,PREFEITO,1712
JOSE ROBERTO DE OLIVEIRA,PREFEITO,15004
RITA DE CÁSSIA RODRIGUES,PREFEITO,1583
GERALDO GOMES DE SOUZA,PREFEITO,6733
PEDRO SOCORRO DO NASCIMENTO,PREFEITO,2872
DERNIVAL MENDES DOS REIS,PREFEITO,3188
JOSE CARLOS PEREIRA,PREFEITO,2345
EDSON RODRIGUES SUZART JUNIOR,PREFEITO,2095
HUDSON SALVADOR VILELA,PREFEITO,2280
AILTON DUARTE,PREFEITO,5138
MAURO ROBERTO FRANCISCO BATISTA,PREFEITO,4079
JULBERT FERRE DE MORAIS,PREFEITO,13309
JOÃO EUSTÁSIO,PREFEITO,2215
WILTON PEREIRA DA SILVA,PREFEITO,5614
IDALINO CELESTINO DE CARVALHO,PREFEITO,2554
JOAQUIM DE OLIVEIRA SA FILHO,PREFEITO,6601
MARIA APARECIDA MAGALHAES BIFANO,PREFEITO,14345
LUCIANO MACHADO DA SILVA,PREFEITO,5512
JOÃO RUFINO SOBRINHO,PREFEITO,5352
WELINGTON MARCOS RODRIGUES,PREFEITO,4998
DIOVANE POLICARPO DE CASTRO,PREFEITO,2501
PATRICIA SANTOS DE ALMEIDA BERNARDO,PREFEITO,2375
DUARTE EUSTÁQUIO GONÇALVES JUNIOR,PREFEITO,26078
ALDO FRANÇA SOUTO,PREFEITO,2131
SEBASTIÃO MACHADO NETO,PREFEITO,1965
GERALDO MAGELA BORGES DE CASTRO,PREFEITO,2058
CAMILO ALBERTO RIBEIRO DA SILVA,PREFEITO,1328
JOSE HAILTON DE FREITAS,PREFEITO,4532
FERNANDO ALMEIDA DE ANDRADE,PREFEITO,3210
CARLOS ROBERTO BATISTA SANTOS,PREFEITO,3011
JOVENTINO MARIA FERREIRA,PREFEITO,1721
JULIO CEZAR NOGUEIRA FARES JUNIOR,PREFEITO,9669
VALDIR BATISTA GONÇALVES,PREFEITO,1301
CARLOS ANTONIO DE CASTRO LOPES,PREFEITO,5008
EDMARCIO MOURA LEAL,PREFEITO,2506
VALTER MAGESTE DE ORNELAS,PREFEITO,6489
OSCAR LISANDRO TEIXEIRA,PREFEITO,5659
ANTONIO DIVINO DE SOUZA,PREFEITO,12401
JOSE ADOLFO RIBEIRO JUNIOR,PREFEITO,1144
FRANCISCO MARTINS RIBEIRO,PREFEITO,1521
EVALDO LUCIO PEIXOTO SENA,PREFEITO,6473
AYMORE MOREIRA DA SILVA,PREFEITO,2269
