NM_VOTAVEL,DS_CARGO,ANO
NERGITON GERALDO CANDESOUSA,DEPUTADO ESTADUAL,2022
NEWTON CARDOSO JÚNIOR,DEPUTADO FEDERAL,2022
NIKOLAS FERREIRA DE OLIVEIRA,DEPUTADO FEDERAL,2022
NILDA PEREIRA SOUZA MARTINS,DEPUTADO ESTADUAL,2022
NILMARIO DE MIRANDA,DEPUTADO FEDERAL,2022
NINA ROSA LÍA ALVES SOBRINHO,DEPUTADO FEDERAL,2022
NORALDINO LUCIO DIAS JUNIOR,DEPUTADO ESTADUAL,2022
OMAR SILVA DA COSTA,DEPUTADO ESTADUAL,2022
ORLEI PEREIRA DA SILVA,DEPUTADO FEDERAL,2022
OSVALDO LOPES DE OLIVEIRA JUNIOR,DEPUTADO ESTADUAL,2022
PATRICIA CARLA DE MELO,DEPUTADO ESTADUAL,2022
PATRUS ANANIAS DE SOUSA,DEPUTADO FEDERAL,2022
PAULA APARECIDA CAETANO TOMAS,DEPUTADO FEDERAL,2022
PAULO ABI-ACKEL,DEPUTADO FEDERAL,2022
PAULO ROBERTO MILAZZO,DEPUTADO FEDERAL,2022
PAULO TRISTAO PINTO,GOVERNADOR,2022
PEDRO DOSHIKAZU PIANCHAO AIHARA,DEPUTADO FEDERAL,2022
PEDRO IVO BUENO DA SILVA,DEPUTADO FEDERAL,2022
PROGRESSISTAS,DEPUTADO ESTADUAL,2022
PROGRESSISTAS,DEPUTADO FEDERAL,2022
Partido Comunista Brasileiro,DEPUTADO FEDERAL,2022
Partido Comunista do Brasil,DEPUTADO ESTADUAL,2022
Partido Comunista do Brasil,DEPUTADO FEDERAL,2022
Partido Democrático Trabalhista,DEPUTADO ESTADUAL,2022
Partido Democrático Trabalhista,DEPUTADO FEDERAL,2022
Partido Liberal,DEPUTADO ESTADUAL,2022
Partido Liberal,DEPUTADO FEDERAL,2022
Partido Novo,DEPUTADO ESTADUAL,2022
Partido Novo,DEPUTADO FEDERAL,2022
Partido Republicano da Ordem Social,DEPUTADO ESTADUAL,2022
Partido Republicano da Ordem Social,DEPUTADO FEDERAL,2022
